"Time","C++","PHP","R","JavaScript","Python","Java"
"2004-01-01",27,38,2,36,6,90
"2004-02-01",30,37,2,39,6,99
"2004-03-01",30,39,2,38,6,100
"2004-04-01",28,39,2,38,6,97
"2004-05-01",29,38,2,35,6,92
"2004-06-01",26,39,2,36,6,88
"2004-07-01",24,39,2,35,6,90
"2004-08-01",23,38,2,34,6,89
"2004-09-01",26,37,2,33,6,90
"2004-10-01",27,38,2,32,6,89
"2004-11-01",25,33,2,31,5,91
"2004-12-01",22,35,2,31,6,84
"2005-01-01",22,36,2,28,6,83
"2005-02-01",23,37,2,31,6,88
"2005-03-01",23,36,2,30,6,84
"2005-04-01",23,34,2,29,5,82
"2005-05-01",22,35,3,31,6,83
"2005-06-01",20,36,3,31,6,79
"2005-07-01",19,35,3,30,6,77
"2005-08-01",18,33,3,28,6,72
"2005-09-01",20,34,3,27,6,74
"2005-10-01",21,32,3,27,6,75
"2005-11-01",20,34,3,27,6,75
"2005-12-01",18,32,3,26,5,73
"2006-01-01",17,31,3,25,6,67
"2006-02-01",17,34,3,27,5,70
"2006-03-01",20,32,3,28,6,73
"2006-04-01",17,29,3,25,5,66
"2006-05-01",17,30,3,26,5,69
"2006-06-01",16,31,3,26,5,61
"2006-07-01",14,29,3,25,6,58
"2006-08-01",14,29,3,26,6,61
"2006-09-01",16,28,3,24,6,61
"2006-10-01",16,29,4,24,6,62
"2006-11-01",16,28,4,23,5,62
"2006-12-01",14,26,3,21,5,59
"2007-01-01",13,27,3,23,5,59
"2007-02-01",14,29,4,23,5,63
"2007-03-01",15,28,3,23,6,63
"2007-04-01",13,26,3,22,5,59
"2007-05-01",14,27,3,22,5,57
"2007-06-01",14,26,3,23,5,57
"2007-07-01",12,26,3,23,6,54
"2007-08-01",12,25,3,22,5,53
"2007-09-01",13,24,3,21,5,54
"2007-10-01",14,25,3,21,5,59
"2007-11-01",13,25,3,22,5,56
"2007-12-01",12,21,3,20,5,51
"2008-01-01",11,23,3,19,5,51
"2008-02-01",12,22,3,20,5,51
"2008-03-01",12,23,3,20,5,51
"2008-04-01",12,21,3,20,5,51
"2008-05-01",12,22,3,20,5,48
"2008-06-01",11,21,3,20,5,50
"2008-07-01",11,21,3,21,5,47
"2008-08-01",10,20,3,19,5,45
"2008-09-01",11,19,3,19,5,48
"2008-10-01",12,20,3,20,5,49
"2008-11-01",12,18,3,18,5,47
"2008-12-01",10,19,3,17,5,46
"2009-01-01",10,19,3,17,5,45
"2009-02-01",11,21,3,19,5,47
"2009-03-01",11,20,3,19,5,48
"2009-04-01",11,19,3,18,5,45
"2009-05-01",11,19,3,17,5,44
"2009-06-01",10,20,3,18,5,43
"2009-07-01",9,19,3,18,5,40
"2009-08-01",9,20,3,18,5,41
"2009-09-01",10,19,3,17,5,41
"2009-10-01",11,19,3,16,5,42
"2009-11-01",12,18,3,17,5,43
"2009-12-01",10,17,3,16,5,41
"2010-01-01",10,17,3,16,5,39
"2010-02-01",10,18,3,16,5,40
"2010-03-01",11,19,3,17,5,43
"2010-04-01",10,19,3,15,5,42
"2010-05-01",10,18,3,15,5,40
"2010-06-01",9,18,3,15,5,39
"2010-07-01",8,16,3,14,5,36
"2010-08-01",8,16,3,14,5,36
"2010-09-01",9,15,3,14,5,37
"2010-10-01",10,16,3,13,5,38
"2010-11-01",10,16,3,13,5,37
"2010-12-01",8,14,3,13,5,35
"2011-01-01",8,16,3,13,5,35
"2011-02-01",9,15,3,14,5,38
"2011-03-01",9,16,3,14,5,38
"2011-04-01",9,15,3,13,5,36
"2011-05-01",9,15,3,13,5,36
"2011-06-01",8,16,4,14,5,36
"2011-07-01",7,15,3,13,5,35
"2011-08-01",7,14,3,13,5,36
