"Time","C++","PHP","R","JavaScript","Python","Java"
"2008-01-01",4,4,21,8,19,14
"2008-02-01",4,4,23,8,19,13
"2008-03-01",5,4,19,8,18,15
"2008-04-01",4,4,19,8,17,13
"2008-05-01",5,5,17,9,16,12
"2008-06-01",5,4,16,9,14,13
"2008-07-01",5,5,13,10,13,14
"2008-08-01",5,5,13,9,13,13
"2008-09-01",6,4,12,9,12,14
"2008-10-01",6,4,12,9,13,13
"2008-11-01",5,5,12,8,14,13
"2008-12-01",5,4,12,8,12,13
"2009-01-01",6,5,11,9,13,14
"2009-02-01",6,6,12,10,15,15
"2009-03-01",6,6,11,11,14,16
"2009-04-01",6,5,10,9,13,15
"2009-05-01",6,7,10,9,11,14
"2009-06-01",6,6,10,9,12,15
"2009-07-01",6,6,10,8,13,15
"2009-08-01",7,6,10,9,12,16
"2009-09-01",7,6,9,8,11,17
"2009-10-01",7,6,9,9,12,18
"2009-11-01",8,6,10,11,10,18
"2009-12-01",7,6,11,11,10,17
"2010-01-01",8,7,11,11,10,17
"2010-02-01",8,7,10,12,10,18
"2010-03-01",9,7,9,12,10,18
"2010-04-01",8,7,10,11,10,19
"2010-05-01",8,7,9,12,11,18
"2010-06-01",8,7,9,14,10,21
"2010-07-01",8,8,9,13,11,21
"2010-08-01",9,7,9,12,11,20
"2010-09-01",10,8,9,12,11,22
"2010-10-01",11,8,9,13,10,23
"2010-11-01",10,8,9,14,11,21
"2010-12-01",9,9,10,13,11,19
"2011-01-01",9,9,9,14,11,20
"2011-02-01",10,10,9,13,11,22
"2011-03-01",11,10,11,11,11,25
"2011-04-01",10,10,9,11,11,25
"2011-05-01",11,10,9,12,11,25
"2011-06-01",10,10,9,10,11,24
"2011-07-01",10,10,9,10,12,24
"2011-08-01",10,9,9,13,10,23
"2011-09-01",11,9,8,9,9,27
"2011-10-01",12,9,8,9,9,28
"2011-11-01",12,9,10,10,11,29
"2011-12-01",10,9,10,12,13,26
"2012-01-01",11,10,10,11,11,29
"2012-02-01",12,11,10,12,10,31
"2012-03-01",13,12,9,11,10,34
"2012-04-01",12,11,10,10,11,34
"2012-05-01",12,11,10,11,11,32
"2012-06-01",12,11,10,11,12,34
"2012-07-01",11,12,10,11,11,33
"2012-08-01",11,12,10,10,11,35
"2012-09-01",14,11,10,10,12,39
"2012-10-01",13,11,9,10,11,38
"2012-11-01",14,11,11,12,11,38
"2012-12-01",12,11,10,10,11,35
"2013-01-01",12,12,11,11,12,38
"2013-02-01",14,13,10,12,12,41
"2013-03-01",15,14,10,11,12,42
"2013-04-01",15,13,10,11,12,39
"2013-05-01",15,13,10,11,12,44
"2013-06-01",13,13,11,11,12,45
"2013-07-01",13,14,10,11,12,44
"2013-08-01",14,14,10,12,13,45
"2013-09-01",17,14,10,11,13,49
"2013-10-01",20,13,10,13,14,51
"2013-11-01",19,13,10,12,14,51
"2013-12-01",16,13,11,12,17,46
"2014-01-01",16,13,11,12,13,45
"2014-02-01",19,16,11,13,14,54
"2014-03-01",19,16,12,12,16,57
"2014-04-01",18,15,12,13,13,56
"2014-05-01",16,13,18,13,13,48
"2014-06-01",17,16,11,13,13,55
"2014-07-01",16,15,12,14,16,57
"2014-08-01",17,15,11,14,14,56
"2014-09-01",24,18,12,15,16,63
"2014-10-01",25,17,12,15,18,65
"2014-11-01",26,19,12,16,17,73
"2014-12-01",23,19,12,17,18,62
"2015-01-01",22,19,12,18,18,62
"2015-02-01",25,20,12,19,20,67
"2015-03-01",27,23,12,21,21,77
"2015-04-01",28,25,12,21,21,80
"2015-05-01",26,23,12,22,22,76
"2015-06-01",25,23,11,22,22,73
"2015-07-01",23,23,13,22,22,71
"2015-08-01",25,23,11,22,23,72
"2015-09-01",30,23,13,23,24,78
"2015-10-01",32,23,13,24,25,79
"2015-11-01",31,23,13,23,25,80
"2015-12-01",27,23,12,23,26,73
"2016-01-01",29,25,12,24,28,80
"2016-02-01",33,28,14,27,30,85
"2016-03-01",33,29,14,28,29,87
"2016-04-01",32,30,13,28,30,83
